postcode,is_serviceable
PO30 9DI,1
PO30 2IL,1
PO30 7EL,1
PO30 9EH,1
PO30 5PG,1
PO30 4CD,1
PO30 6EL,1
PO30 6MV,1
PO30 2BT,1
PO30 2VT,1
PO30 6BR,1
PO30 1IQ,1
PO30 7DR,1
PO30 5BI,1
PO30 4HU,1
PO30 7HV,1
PO30 2XF,1
PO30 4LB,1
PO30 4FQ,1
PO30 9QT,1
PO30 7TQ,0
PO30 6PH,1
PO30 7DM,1
PO30 8YJ,1
PO30 2VO,1
PO30 2PK,1
PO30 7PP,1
PO30 1CD,1
PO30 8TN,1
PO30 7JH,0
PO30 2WD,1
PO30 1QM,1
PO30 2WZ,1
PO30 1GB,1
PO30 4UX,1
PO30 5AO,0
PO30 1NN,1
PO30 3FQ,1
PO30 4NE,1
PO30 6NF,1
PO30 9GL,1
PO30 1DC,1
PO30 3NJ,1
PO30 6JV,0
PO30 2XX,1
PO30 4SR,1
PO30 8JX,0
PO30 2TD,1
PO30 7VJ,1
PO30 7OQ,1
PO30 3ZA,1
PO30 6YJ,1
PO30 6EA,1
PO30 2WW,1
PO30 6HM,0
PO30 4AY,1
PO30 7JD,1
PO30 4LP,1
PO30 9YG,1
PO30 1GV,1
PO30 8EB,1
PO30 7TB,0
PO30 5ET,1
PO30 9MP,1
PO30 3XV,1
PO30 8NQ,1
PO30 3FP,1
PO30 6AS,1
PO30 4XH,1
PO30 1XM,1
PO30 2DU,1
PO30 9DL,1
PO30 4PX,1
PO30 8ZV,1
PO30 5WD,1
PO30 4JY,1
PO30 3IT,1
PO30 5DY,1
PO30 8QB,1
PO30 7EH,1
PO30 1UO,1
PO30 2BW,1
PO30 3EY,1
PO30 7JW,1
PO30 1KD,0
PO30 8QM,0
PO30 2DC,1
PO30 3AN,1
PO30 3TF,0
PO30 7UF,1
PO30 1DZ,1
PO30 2XR,1
PO30 6RP,1
PO30 9GB,1
PO30 9TQ,1
PO30 7LA,1
PO30 6KT,1
PO30 9CR,1
PO30 5ES,1
PO30 7DQ,1
PO30 6UB,1
PO30 7KR,1
PO30 4RM,1
PO30 8ZO,1
PO30 6CH,1
PO30 4KD,1
PO30 2CM,0
PO30 5PZ,1
PO30 5ZG,1
PO30 7YU,1
PO30 7XK,1
PO30 8YQ,1
PO30 1NK,1
PO30 6ZU,1
PO30 3QX,1
PO30 6JG,1
PO30 7MQ,1
PO30 9HA,1
PO30 9ZU,1
PO30 3MZ,0
PO30 9TF,1
PO30 5EX,1
PO30 5UH,1
PO30 7XV,1
PO30 4WE,1
PO30 7HY,1
PO30 6WW,1
PO30 9ML,1
PO30 9YE,1
PO30 9YR,1
PO30 4BS,1
PO30 4MZ,1
PO30 9FQ,1
PO30 2BM,1
PO30 8UH,1
PO30 8FD,1
PO30 9ZJ,1
PO30 8FL,1
PO30 9BU,1
PO30 3JA,0
PO30 2ZG,1
PO30 4PT,1
PO30 8ZX,1
PO30 6HE,1
PO30 3PV,1
PO30 5AE,1
PO30 1RB,1
PO30 8DS,0
PO30 4KX,1
PO30 9PG,1
PO30 9YL,1
PO30 1JO,1
PO30 7GX,1
PO30 9DQ,1
PO30 3EL,1
PO30 7RE,1
PO30 8OZ,1
PO30 2IY,1
PO30 6KB,0
PO30 9RK,1
PO30 7CP,1
PO30 2KD,1
PO30 6OF,1
PO30 8TR,1
PO30 9DP,1
PO30 4IK,1
PO30 9LA,0
PO30 9SN,1
PO30 8JY,1
PO30 3KZ,1
PO30 5GE,0
PO30 8AQ,1
PO30 3DQ,1
PO30 6RS,1
PO30 3IO,1
PO30 6XT,1
PO30 4RH,1
PO30 5FT,1
PO30 2HV,0
PO30 9HW,1
PO30 9FC,1
PO30 8JN,1
PO30 6MB,1
PO30 6PJ,1
PO30 5FC,1
PO30 2EK,1
PO30 6KG,1
PO30 5CU,0
PO30 3GD,1
PO30 4VT,1
PO30 3UZ,0
PO30 7VX,1
PO30 8ZT,1
PO30 5BN,1
PO30 2HP,1
PO30 8PM,0
PO30 3QG,1
PO30 9FD,1
PO30 1PO,1
PO31 6DZ,1
PO31 5ID,1
PO31 9FR,1
PO31 9FL,1
PO31 1PP,1
PO31 2BQ,1
PO31 4GJ,1
PO31 5CI,1
PO31 6RW,1
PO31 8KW,1
PO31 9ZT,1
PO31 6YG,1
PO31 3UE,1
PO31 1GX,1
PO31 4GP,1
PO31 2ZU,1
PO31 2HJ,1
PO31 8GW,1
PO31 5LP,1
PO31 6YY,1
PO31 1BT,1
PO31 9AW,1
PO31 9AP,1
PO31 8XE,1
PO31 5OU,1
PO31 6FF,1
PO31 6GM,1
PO31 7ZI,1
PO31 4KI,1
PO31 8AY,1
PO31 2SB,1
PO31 9GE,1
PO31 3MQ,1
PO31 8MI,1
PO31 9DE,1
PO31 3ML,1
PO31 8CZ,1
PO31 1GY,1
PO31 8JY,1
PO31 1WQ,1
PO31 3IV,1
PO31 7PD,1
PO31 7XL,1
PO31 6YA,1
PO31 3SQ,1
PO31 2AP,1
PO31 8ML,1
PO31 6VN,1
PO31 5TW,1
PO31 6RA,1
PO31 4XJ,1
PO31 5AG,1
PO31 1UZ,1
PO31 8NV,1
PO31 9NO,1
PO31 1NU,1
PO31 9CU,1
PO31 5MP,1
PO31 9FK,1
PO31 4BJ,1
PO31 7HZ,1
PO31 9OG,1
PO31 2BA,1
PO31 9DD,1
PO31 6SC,1
PO31 3RG,1
PO31 4EO,1
PO31 2DM,1
PO31 8SL,1
PO31 5FZ,1
PO31 7NN,1
PO31 4KA,1
PO31 2XH,1
PO31 5GR,1
PO31 4CN,1
PO31 7TV,1
PO31 4NB,1
PO31 3RY,1
PO31 3VZ,1
PO31 1JU,1
PO31 6DK,1
PO31 6BI,1
PO31 9XO,1
PO31 1QE,1
PO31 8SH,1
PO31 4PD,1
PO31 5FU,1
PO31 7GC,1
PO31 8LZ,1
PO31 5CS,1
PO31 5AH,1
PO31 4MX,1
PO31 1PX,1
PO31 9FO,1
PO31 2SN,1
PO31 8UX,1
PO31 6UQ,1
PO31 1SC,1
