customer_id,plan_name,monthly_rate,start_date,is_active
1,Essential 100,19.95,2025-09-29,1
2,Essential 100,19.95,2025-05-18,1
3,Full-Fibre 150,30.95,2026-01-19,1
4,Full-Fibre 300,31.95,2026-02-16,1
5,Essential 100,19.95,2024-06-11,1
6,Full-Fibre 500,35.95,2025-03-29,1
7,Full-Fibre 900,41.95,2023-08-30,1
8,Full-Fibre 900,41.95,2025-09-11,1
9,Full-Fibre 500,35.95,2023-09-23,1
10,Full-Fibre 900,41.95,2023-10-08,1
11,Full-Fibre 150,30.95,2024-12-17,1
12,Full-Fibre 900,41.95,2023-10-05,1
13,Full-Fibre 500,35.95,2023-04-18,1
14,Full-Fibre 900 - All In,48.95,2025-07-24,1
15,Full-Fibre 300,31.95,2023-10-27,1
16,Full-Fibre 150,30.95,2023-10-08,1
17,Full-Fibre 300,31.95,2025-05-27,1
18,Full-Fibre 300,31.95,2024-10-06,1
19,Full-Fibre 500,35.95,2026-01-31,1
20,Full-Fibre 150,30.95,2024-02-28,1
21,Essential 100,19.95,2024-01-12,1
22,Full-Fibre 500,35.95,2025-08-09,1
23,Full-Fibre 300,31.95,2023-05-13,1
24,Full-Fibre 150,30.95,2025-04-06,1
25,Full-Fibre 500,35.95,2023-07-07,1
26,Essential 100,19.95,2025-10-14,1
27,Full-Fibre 900,41.95,2025-12-18,1
28,Full-Fibre 300,31.95,2024-06-25,1
29,Full-Fibre 900 - All In,48.95,2023-09-30,1
30,Full-Fibre 300,31.95,2024-03-18,1
31,Full-Fibre 900,41.95,2025-06-06,1
32,Full-Fibre 300,31.95,2026-02-01,1
33,Essential 100,19.95,2025-04-01,1
34,Full-Fibre 150,30.95,2024-09-03,1
35,Full-Fibre 150,30.95,2023-06-17,1
36,Full-Fibre 300,31.95,2024-11-20,1
37,Full-Fibre 300,31.95,2024-01-30,1
38,Full-Fibre 150,30.95,2023-07-20,1
39,Full-Fibre 300,31.95,2025-10-07,1
40,Full-Fibre 300,31.95,2024-11-23,1
41,Full-Fibre 300,31.95,2025-09-27,1
42,Full-Fibre 150,30.95,2023-05-29,1
43,Full-Fibre 900 - All In,48.95,2023-03-03,1
44,Full-Fibre 300,31.95,2026-02-09,1
45,Full-Fibre 900,41.95,2025-01-01,1
46,Full-Fibre 150,30.95,2024-05-29,1
47,Full-Fibre 300,31.95,2023-03-09,1
48,Full-Fibre 500,35.95,2025-08-05,1
49,Full-Fibre 300,31.95,2025-04-29,1
50,Essential 100,19.95,2025-08-10,1
51,Full-Fibre 300,31.95,2026-04-12,1
52,Full-Fibre 300,31.95,2025-04-10,1
53,Essential 100,19.95,2025-09-08,1
54,Full-Fibre 300,31.95,2024-06-29,1
55,Full-Fibre 900 - All In,48.95,2025-09-21,1
56,Full-Fibre 150,30.95,2023-05-02,1
57,Full-Fibre 900,41.95,2024-05-15,1
58,Full-Fibre 300,31.95,2023-01-12,1
59,Full-Fibre 150,30.95,2023-12-26,1
60,Full-Fibre 300,31.95,2024-09-21,1
61,Full-Fibre 500,35.95,2023-06-23,1
62,Essential 100,19.95,2024-04-18,1
63,Full-Fibre 300,31.95,2024-03-04,1
64,Full-Fibre 500,35.95,2025-05-27,1
65,Essential 100,19.95,2024-02-29,1
66,Full-Fibre 900,41.95,2025-03-17,1
67,Full-Fibre 300,31.95,2023-07-01,1
68,Full-Fibre 300,31.95,2025-09-06,1
69,Full-Fibre 300,31.95,2025-10-01,1
70,Full-Fibre 500,35.95,2025-12-04,1
71,Full-Fibre 150,30.95,2023-12-16,1
72,Full-Fibre 300,31.95,2025-03-08,1
73,Full-Fibre 500,35.95,2026-02-23,1
74,Full-Fibre 300,31.95,2026-03-28,1
75,Full-Fibre 300,31.95,2026-04-03,1
76,Full-Fibre 150,30.95,2024-07-20,1
